year,cf
1968,0.145
1969,0.153
1970,0.162
1971,0.169
1972,0.174
1973,0.185
1974,0.205
1975,0.224
1976,0.237
1977,0.252
1978,0.272
1979,0.302
1980,0.343
1981,0.379
1982,0.402
1983,0.415
1984,0.433
1985,0.448
1986,0.457
1987,0.473
1988,0.493
1989,0.517
1990,0.545
1991,0.567
1992,0.585
1993,0.602
1994,0.617
1995,0.635
1996,0.654
1997,0.669
1998,0.679
1999,0.694
2000,0.717
2001,0.738
2002,0.750
2003,0.767
2004,0.787
2005,0.814
2006,0.840
2007,0.864
2008,0.897
2009,0.894
2010,0.909
2011,0.937
2012,0.957
2013,0.971
2014,0.986
2015,0.988
2016,1.000
2017,1.025
2018,1.049
2019,1.073
2020,1.097
2021,1.123
2022,1.149
